Oggetto	Risorsa Stringa	Pannello	Descrizione	it-IT	en-US	de-DE	fr-FR	es-ES	sk-SK
TextBlock	lbl_SettingsSensors_Title	Impostazione Sensori		IMPOSTAZIONI: SENSORI	SETTINGS: SENSORS	EINSTELLUNGEN: SENSOREN	REGLAGES: CAPTEURS	AJUSTES: SENSORES	NASTAVENIA: SNÍMA?E
TextBlock	lbl_SettingsSensors_Coil_Init_Power_Title	Impostazione Sensori		POTENZA INIZIALE MAGNETE	MAGNET INITIAL POWER	ANFANGSLEISTUNG DES MAGNETEN	PUISSANCE INITIALE DE L'AIMANT	POTENCIA INICIAL DEL IMÁN	PO?IATO?NÝ VÝKON MAGNETU
TextBlock	lbl_SettingsSensors_Coil_Init_Position_Power_Title	Impostazione Sensori		POSIZIONE INIZIALE MAGNETE	MAGNET INITIAL POSITION	AUSGANGSPOSITION DES MAGNETEN	POSITION INITIALE DE L'AIMANT	IMÁN POSICIÓN INICIAL	PO?IATO?NÁ POLOHA MAGNETU
TextBlock	lbl_SettingsSensors_Coil_Brake_In_Trow_Power_Title	Impostazione Sensori		POTENZA RITORNO MAGNETE	MAGNET RETURN POWER	MAGNET-RUCKGABEKRAFT	PUISSANCE DE RETOUR DE L'AIMANT	POTENCIA DE RETORNO DEL IMÁN	SPÄTNÝ VÝKON MAGNETU
TextBlock	lbl_SettingsSensors_Coil_Brake_In_Trow_Position_Power_Title	Impostazione Sensori		POSIZIONE RITORNO MAGNETE	MAGNET RETURN POSITION	MAGNET-RUCKGABEPOSITION	POSITION DE RETOUR DE L'AIMANT	POSICIÓN DE RETORNO DEL IMÁN	SPÄTNÁ POLOHA MAGNETU
TextBlock	Lbl_SettingsSensors_Coil_In_Home_Hold_Position_Power_Title	Impostazione Sensori		POTENZA IN HOME MAGNETE	POWER IN HOME MAGNET	POWER-IN-HOME-MAGNET	PUISSANCE DANS L'AIMANT DE LA MAISON	POTENCIA DE INICIO DEL IMÁN	PO?IATO?NÝ VÝKON MAGNETU
TextBlock	lbl_SettingsCuttingAreaLimit_Title	Impostazione Sensori		PIATTO: LIMITI AREA DI TAGLIO	PLATE: CUTTING AREA LIMITS	PLATTE: SCHNITTBEREICHSGRENZEN	PLAQUE: LIMITES DE LA ZONE DE COUPE	PLACA: LÍMITES DEL ÁREA DE CORTE	DOSKA: HRANICE REZNEJ PLOCHY
TextBlock	lbl_Settings_Chain_LenghBladeAndTrow_Title	Impostazione Sensori		CATENA: AVANZ. / VEL. / RAPP.	CHAIN: ADVANCE. / VEL. / RAP.	KETTE: ADVANCE. / VEL. / RAP.	CHAINE: AVANCE. / VEL. / RAP.	CADENA: AVANCE / VELOCIDAD / RAPP.	RE?AZ: POSUV / RÝCHLOS? / RAP.
TextBlock	lbl_SettingsRatioBlade_Title	Impostazione Sensori		LAMA / CARRO: CORREZIONI	BLADE / CARRIAGE: CORRECTIONS	KLINGE/WAGEN: KORREKTUREN	LAME / CHARIOT : CORRECTIONS	CUCHILLA / CARRO: CORRECCIONES	?EPE? / VOZÍK: KOREKCIE
TextBlock	lbl_SettingsSensors_LenghtBladeAndTrow_Title	Impostazione Sensori		Avanzamento   (mm)	Avanzamento   (mm)	Fortschritt (mm)	Avancement (mm)	Avance (mm)	Posuv (mm)
TextBlock	lbl_SettingsSensors_Coil_Speed_In_End_CuttingCycle_Title	Impostazione Sensori		Velocita'   (giri/min)	Speed (rpm)	Geschwindigkeit (U/min)	Vitesse    (tr/min)	Velocidad (rpm)	Otá?ky (ot/min)
TextBlock	lbl_SettingsSensors_ChainRatioWithCarriageMovement_Title	Impostazione Sensori		Rapporto  (%)	Relationship (%)	Beziehung (%)	Relation (%)	Ratio (%)	Pomer (%)
TextBlock	lbl_SettingsRatioBlade_Field_Title	Impostazione Sensori		LAMA: COEFFICIENTE DI CORREZIONE	BLADE: CORRECTION COEFFICIENT	KLINGE: KORREKTURKOEFFIZIENT	LAME: COEFFICIENT DE CORRECTION	CUCHILLA: COEFICIENTE DE CORRECCIÓN	?EPE?: KOREK?NÝ KOEFICIENT
TextBlock	lbl_SettingsCarriageSpeedBack_Field_Title	Impostazione Sensori		CARRO: VELOCITA' RITORNO (%)	WAGON: RETURN SPEED (%)	WAGEN: RÜCKFAHRGESCHWINDIGKEIT (%)	WAGON: VITESSE DE RETOUR (%)	CARRO: VELOCIDAD DE RETORNO (%)	VOZÍK: RÝCHLOS? NÁVRATU (%)
TextBlock	lbl_Statistics_Pie_Title	Statistics		RAPPRESENTAZIONE A TORTA	PIE REPRESENTATION	TORTE-VERTRETUNG	REPRESENTATION DE GATEAU	REPRESENTACIÓN DE LA TARTA	KOLÁ?OVÉ ZNÁZORNENIE
TextBlock	lbl_Statistics_Title	Statistics		STATISTICA	STATISTICS	STATISTIK	STATISTIQUES	ESTADÍSTICAS	ŠTATISTIKA
TextBlock	lbl_Statistics_ListOfOperators_Title	Statistics		LISTA OPERATORI	LIST OF USERS	LISTE DER BENUTZER	LISTE DES UTILISATEURS	LISTA DE OPERADORES	ZOZNAM OPERÁTOROV
TextBlock	lbl_Statistics_ProductEnable_Title	Statistics		PRODOTTI	PRODUCTS	PRODUKTE	PRODUIT	PRODUCTOS	PRODUKTY
TextBlock	lbl_Statistics_Date_Start_Title	Statistics		PERIODO: PARTENZA	PERIOD: START	ZEITRAUM: ABREISE	PERIODE : DEPART	PERIODO: SALIDA	OBDOBIE: ODCHOD
TextBlock	lbl_Statistics_Date_End_Title	Statistics		PERIODO: FINE	PERIOD: END	PERIODEN ENDE	PERIODE : FIN	PERÍODO: FIN	OBDOBIE: KONIEC
TextBlock	lbl_Statistics_TotalSlicesCutted_Title	Statistics		TOTALE FETTE TAGLIATE	TOTAL SLICES CUT	INSGESAMT SCHEIBEN GESCHNITTEN	TOTAL DES TRANCHES	TOTAL LONCHAS CORTADAS	CELKOVÝ PO?ET NAKRÁJANÝCH PLÁTKOV
TextBlock	TBlock_Exist_Monitor_BladeSpeed_Title	Exist Monitor		GIRI LAMA	BLADE SPEED	KLINGE RPM	VITESSE DE LA LAME	VUELTAS DE CUCHILLA	OBRÁCANIE ?EPELÍ
TextBlock	TBlock_Exist_Monitor_CarriageSpeed_Title	Exist Monitor		FETTE / MIN	SLICES / MIN	SCHEIBEN / MIN	TRANCHES / MIN	LONCHAS / MIN	KÚSY / MIN
TextBlock	TBlock_Exist_Monitor_Pattern_Arrangement_Title	Exist Monitor		DISPOSIZIONE	ARRANGEMENT	ANORDNUNG	AFFICHAGE	DISPOSICIÓN	DISPOZÍCIA
TextBlock	TBlock_Exist_Monitor_Pattern_Dimension_Title	Exist Monitor		DIMENSIONE	DIMENSION	Größe	TAILLE	TAMAÑO	VE?KOS?
TextBlock	TBlock_Exist_Monitor_Pattern_Form_Title	Exist Monitor		FORMA	SHAPE	FORM	FORME	FORMA	SHAPE
TextBlock	TBlock_Exist_Monitor_Pattern_Title	Exist Monitor		PATTERN	PATTERN	MUSTER	MODÈLE	PATRÓN	VZOR
TextBlock	TBlock_Exist_Monitor_RealValue_Title	Exist Monitor		REAL	REAL	REAL	REEL	REAL	REAL
TextBlock	TBlock_Exist_Monitor_SettedValue_Title	Exist Monitor		SET	SET	SET	SET	CONJUNTO	SET
TextBlock	TBlock_Exist_Monitor_Sleces_Title	Exist Monitor		QUANTITA'	QUANTITY	MENGE	QUANTITE'	CANTIDAD	KVANTITA
TextBlock	TBlock_Exist_Monitor_Planes_Title	Exist Monitor		PIANI	PLANES	PLANE	PLANS	SUELOS	PODLAHY
TextBlock	TBlock_Exist_Monitor_Thickness_Title	Exist Monitor		SPESSORE	THICKNESS	DICKE	EPAISSEUR	GROSOR	H?BKA
TextBlock	TBlock_MessageBox_Title	Spegni Macchina		Confermi uscita?	Confirm exit?	Freigabe bestätigen?	Confirmer la sortie?	¿Confirmar salida?	Potvrdi? výstup?
TextBlock	TBlock_MotionDiagnostic_SlicesCutted	Motion Diag.		Ciclo #	Cycle #	Zyklus #	Cycle #	Ciclo #	Cyklus #
TextBlock	lbl_SetCutting_StoringFile_Title	Archivio		EDITOR PROGRAMMI : GESTIONE ARCHIVIO FILES	PROGRAM EDITOR : MANAGMENT FILES	PROGRAMM EDITOR : DATEIEN ARCHIVVERWALTUNG	EDITEUR DE PROGRAMME : GESTION FILES ARCHIVES	EDITOR DE PROGRAMAS : GESTIÓN DE ARCHIVOS	EDITOR PROGRAMU : SPRÁVA ARCHÍVU SÚBOROV
TextBlock	lbl_SetCutting_PlateDimension_Titles_X	Archivio		NOME DEL PROGRAMMA	PROGRAM NAME	PROGRAMMNAME	NOM DU PROGRAMME	NOMBRE DEL PROGRAMA	NÁZOV PROGRAMU
TextBlock	lbl_SetCutting_FileStored_Title	Archivio		LISTA ESISTENTI	EXISTENTS LIST	VORHANDENE LISTE	LISTE EXISTANTE	LISTA EXISTENTE	EXISTUJÚCI ZOZNAM
TextBlock	lbl_SetCutting_FileToStore_Title	Archivio		SALVA NUOVO	SAVE NEW	NEU SPEICHERN	ENREGISTRER NOUVEAU	GUARDAR NUEVO	ULOŽI? NOVÝ
TextBlock	Lbl_SetCutting_ProgramDescription_Title	Archivio		Descrizione Programma	Program Description	Programm Beschreibung	Description du programme	Descripción del programa	Popis programu
TextBlock	Lbl_SelectTable_Parameters_SetCutting_Pag_1_Option_Title	Nuovo Programma		Opzione	Option	Moglichkeit	Option	Opción	Možnos?
TextBlock	Lbl_UsersList	OPERATORI		LISTA OPERATORI	LIST OF USERS	LISTE DER BENUTZER	LISTE DES UTILISATEURS	LISTA DE OPERADORES	ZOZNAM OPERÁTOROV
TextBlock	Lbl_UsersList_UserName_Title	OPERATORI		OPERATORE	USER	BENUTZER	UTILISATEUR	OPERADOR	OPERÁTOR
TextBlock	Lbl_UsersList_UserDescription_Title	OPERATORI		REPARTO	DEPARTEMENT	ABTEILUNG	DEPARTEMENT	DEPARTAMENTO	ODDELENIE
TextBlock	lbl_New_Program_Parameters_SetCutting_Title	Nuovo Programma		ESECUZIONE	EXCECUTION	AUSFUHRUNG	EXECUTION	EJECUCIÓN	VÝKON
TextBlock	lbl_Statistics_Error	Statistica		Attenzione: nessun record trovato con i criteri scelti!	Warning: no records found with the chosen criteria!	Achtung: Es wurden keine Datensatze mit den gewählten Kriterien gefunden!	Attention : aucun enregistrement trouvé avec les critères choisis !	Atención: ¡no se han encontrado registros con los criterios elegidos!	Pozor: Nenašli sa žiadne záznamy so zvolenými kritériami!
TextBlock	Lbl_SelectTable_Planes_Pause_Title	Nuovo Programma		Intervallo	Iinterval	Intervall	Intervalle	Intervalo	Rozsah
TextBlock	Lbl_Program_Exist_Planes_Pause_Title	Seleziona Esistente		Intervallo	Iinterval	Intervall	Intervalle	Intervalo	Interval
TextBlock	Lbl_WarningForPile	Nuovo Programma		Nota: la quantita' di fette impostata corrisponde alla singola pigna.	Note: the set quantity of slices corresponds to the single pine cone.	Hinweis: Die eingestellte Scheibenanzahl entspricht dem einzelnen Tannenzapfen.	Remarque: la quantite' de tranches de'finie correspond a' une seule pomme de pin.	Nota: la cantidad de rodajas fijada corresponde a una sola piña.	Poznámka: množstvo nastavených plátkov zodpovedá jednej šiške.
TextBlock	lbl_Maintenance_ListOfOperations_Title	Manutenzione		LISTA OPERAZIONI	OPERATIONS LIST	LISTE DER OPERATIONEN	LISTE DES OPERATIONS	LISTA DE OPERACIONES	ZOZNAM OPERÁCIÍ
CheckBox	ChkBox_SelectTable_Parameters_SetCutting_Slices_Option	Nuovo Programma		ESPANDE	EXPAND	ERWEITERT	EXPLEND	AMPLIAR	ROZŠÍRI?
